Overall Place,Gender Place,Division Place,Name,BIB,Team,Half,Finish Net,Finish Gun
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Place Overall,Place Gender,Place Overall,Name,,,,,
1146,48,1146,"Torres Landa Aizpuru, Alexia","Team
–","Team
–","HALF
01:22:58","Finish Net
02:48:54","Finish Gun
02:52:00"
1220,49,1220,"Luchezi, Mariana","Team
–","Team
–","HALF
01:24:09","Finish Net
02:49:33","Finish Gun
02:50:23"
1222,50,1222,"Kiernan, Reilly","Team
Tracksmith Boston Hares","Team
Tracksmith Boston Hares","HALF
01:25:28","Finish Net
02:49:33","Finish Gun
02:55:02"
1285,51,1285,"Salamone, Marguerite","Team
–","Team
–","HALF
01:22:07","Finish Net
02:50:04","Finish Gun
02:50:38"
1301,52,1301,"Waineo, Kiersten","Team
–","Team
–","HALF
01:24:31","Finish Net
02:50:15","Finish Gun
02:54:26"
1339,53,1339,"Toledo, Bianca","Team
Garden State Track Club","Team
Garden State Track Club","HALF
01:25:58","Finish Net
02:50:40","Finish Gun
02:53:39"
1351,54,1351,"Chaney, Angela","Team
–","Team
–","HALF
01:24:12","Finish Net
02:50:48","Finish Gun
02:52:55"
1379,55,1379,"Houghton, Belinda","Team
–","Team
–","HALF
01:22:59","Finish Net
02:51:05","Finish Gun
02:51:48"
1394,56,1394,"Schindel, Caitlin","Team
–","Team
–","HALF
01:23:24","Finish Net
02:51:14","Finish Gun
02:53:25"
1396,57,1396,"Kehoe, Jacqueline","Team
Central Park Track Club- Tracksmith","Team
Central Park Track Club- Tracksmith","HALF
01:25:09","Finish Net
02:51:14","Finish Gun
02:57:11"
1404,58,1404,"Rouse, Gina","Team
–","Team
–","HALF
01:18:33","Finish Net
02:51:16","Finish Gun
02:51:16"
1412,59,1412,"Corgel, Stefanie","Team
–","Team
–","HALF
01:25:21","Finish Net
02:51:20","Finish Gun
02:53:18"
1429,60,1429,"Cullingford, Stefanie","Team
–","Team
–","HALF
01:22:36","Finish Net
02:51:31","Finish Gun
02:54:03"
1439,61,1439,"Escobar, Teresa","Team
–","Team
–","HALF
01:24:50","Finish Net
02:51:34","Finish Gun
02:55:14"
1444,62,1444,"Martinez, Vicky","Team
Central Park Track Club- Tracksmith","Team
Central Park Track Club- Tracksmith","HALF
01:22:57","Finish Net
02:51:37","Finish Gun
02:56:58"
1466,63,1466,"Gustafson, Kate","Team
–","Team
–","HALF
01:25:40","Finish Net
02:51:49","Finish Gun
02:54:50"
1472,64,1472,"Mammen, Mindy","Team
–","Team
–","HALF
01:21:21","Finish Net
02:51:55","Finish Gun
02:51:55"
1552,65,1552,"Del Giudice, Erin","Team
–","Team
–","HALF
01:25:04","Finish Net
02:52:34","Finish Gun
02:54:41"
1566,66,1566,"Haehner, Anne Marie","Team
–","Team
–","HALF
01:23:41","Finish Net
02:52:38","Finish Gun
02:55:05"
1582,67,1582,"Eriksen, Ingrid","Team
–","Team
–","HALF
01:24:54","Finish Net
02:52:48","Finish Gun
02:56:53"
1612,68,1612,"Iacone, Dina","Team
–","Team
–","HALF
01:24:39","Finish Net
02:53:04","Finish Gun
02:55:21"
1634,69,1634,"Pietrzyk, Caroline","Team
–","Team
–","HALF
01:25:13","Finish Net
02:53:14","Finish Gun
02:56:28"
1642,70,1642,"Mcdermott, Casey","Team
–","Team
–","HALF
01:23:55","Finish Net
02:53:17","Finish Gun
02:53:49"
1652,71,1652,"Rodin, Rachel","Team
–","Team
–","HALF
01:24:51","Finish Net
02:53:20","Finish Gun
02:54:42"
1665,72,1665,"King, Madeleine","Team
–","Team
–","HALF
01:22:31","Finish Net
02:53:26","Finish Gun
02:54:13"
1703,73,1703,"Krummenacher, Claire","Team
–","Team
–","HALF
01:25:02","Finish Net
02:53:46","Finish Gun
02:56:03"
1708,74,1708,"Reid, Claire","Team
–","Team
–","HALF
01:24:39","Finish Net
02:53:48","Finish Gun
02:56:01"
1757,75,1757,"Aspitz, Danielle","Team
–","Team
–","HALF
01:24:42","Finish Net
02:54:04","Finish Gun
02:56:26"
