Overall Place,Gender Place,Division Place,Name,BIB,Team,Half,Finish Net,Finish Gun
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Place Overall,Place Gender,Place Overall,Name,,,,,
4424,477,4424,"Cassidy, Tessa","Team
–","Team
–","HALF
01:33:05","Finish Net
03:08:56","Finish Gun
03:12:25"
4425,478,4425,"Burant, Natalie","Team
–","Team
–","HALF
01:31:32","Finish Net
03:08:56","Finish Gun
03:09:28"
4427,479,4427,"Pearlman Morales, Aria","Team
–","Team
–","HALF
01:33:11","Finish Net
03:08:56","Finish Gun
03:10:58"
4429,480,4429,"Leal, Nicole","Team
–","Team
–","HALF
01:30:16","Finish Net
03:08:57","Finish Gun
03:12:54"
4430,481,4430,"Overby, Madison","Team
–","Team
–","HALF
01:31:58","Finish Net
03:08:58","Finish Gun
03:09:42"
4434,482,4434,"Thompson, Emma","Team
–","Team
–","HALF
01:29:55","Finish Net
03:09:01","Finish Gun
03:12:24"
4436,483,4436,"Steinmann, Alysia","Team
–","Team
–","HALF
01:35:02","Finish Net
03:09:02","Finish Gun
03:15:42"
4442,484,4442,"Arroyo Yamin, María Regina","Team
–","Team
–","HALF
01:29:58","Finish Net
03:09:03","Finish Gun
03:15:45"
4443,485,4443,"Fu, Danni","Team
–","Team
–","HALF
01:33:56","Finish Net
03:09:03","Finish Gun
03:10:39"
4447,486,4447,"Cruz, Alexa","Team
–","Team
–","HALF
01:30:46","Finish Net
03:09:05","Finish Gun
03:10:18"
4448,487,4448,"Walker, Lauren","Team
–","Team
–","HALF
01:29:07","Finish Net
03:09:05","Finish Gun
03:14:37"
4452,488,4452,"Brookshire, Rachel","Team
–","Team
–","HALF
01:33:10","Finish Net
03:09:05","Finish Gun
03:11:49"
4455,489,4455,"Rogers, Zoey","Team
Club Northwest","Team
Club Northwest","HALF
01:31:01","Finish Net
03:09:06","Finish Gun
03:12:24"
4456,490,4456,"Borden, Cheryl","Team
–","Team
–","HALF
01:31:53","Finish Net
03:09:06","Finish Gun
03:09:51"
4478,491,4478,"Dubois, Kristine","Team
–","Team
–","HALF
01:33:06","Finish Net
03:09:13","Finish Gun
03:11:49"
4480,492,4480,"Mccracken, Katelyn","Team
–","Team
–","HALF
01:32:19","Finish Net
03:09:14","Finish Gun
03:09:32"
4481,493,4481,"Berg-Haryasz, Marlee","Team
–","Team
–","HALF
01:32:29","Finish Net
03:09:14","Finish Gun
03:17:23"
4483,494,4483,"Young, Tori","Team
–","Team
–","HALF
01:35:12","Finish Net
03:09:14","Finish Gun
03:16:50"
4486,495,4486,"Giammichele, Missy","Team
–","Team
–","HALF
01:31:47","Finish Net
03:09:15","Finish Gun
03:10:52"
4489,496,4489,"Dennehy, Keli","Team
–","Team
–","HALF
01:22:28","Finish Net
03:09:15","Finish Gun
03:11:07"
4491,497,4491,"Ethridge, Melissa","Team
–","Team
–","HALF
01:31:15","Finish Net
03:09:16","Finish Gun
03:11:13"
4495,498,4495,"Costa, Ana Carolina","Team
–","Team
–","HALF
01:31:40","Finish Net
03:09:17","Finish Gun
03:10:37"
4496,499,4496,"Sauter, Casey","Team
–","Team
–","HALF
01:27:39","Finish Net
03:09:17","Finish Gun
03:10:08"
4503,500,4503,"Wu, Die","Team
–","Team
–","HALF
01:32:25","Finish Net
03:09:19","Finish Gun
03:11:35"
4526,501,4526,"Mcgrory, Christine","Team
–","Team
–","HALF
01:32:37","Finish Net
03:09:26","Finish Gun
03:09:59"
4530,502,4530,"Wong, Mei Ying","Team
–","Team
–","HALF
01:31:16","Finish Net
03:09:27","Finish Gun
03:10:27"
4533,503,4533,"Caraway, Ruth","Team
–","Team
–","HALF
01:33:35","Finish Net
03:09:28","Finish Gun
03:14:41"
4542,504,4542,"Smith, Brittni","Team
–","Team
–","HALF
01:34:32","Finish Net
03:09:30","Finish Gun
03:11:26"
4543,505,4543,"Ludington, Johannah","Team
–","Team
–","HALF
01:35:21","Finish Net
03:09:32","Finish Gun
03:16:15"
4557,506,4557,"Gregory, Kristen","Team
–","Team
–","HALF
01:30:55","Finish Net
03:09:37","Finish Gun
03:09:41"
4563,507,4563,"Klein, Iris","Team
–","Team
–","HALF
01:31:16","Finish Net
03:09:38","Finish Gun
03:14:35"
4564,508,4564,"Holmes, Celia","Team
–","Team
–","HALF
01:34:57","Finish Net
03:09:38","Finish Gun
03:15:11"
4570,509,4570,"Beavis, Harriet","Team
–","Team
–","HALF
01:33:32","Finish Net
03:09:41","Finish Gun
03:13:52"
4571,510,4571,"Rosetti, Jessica","Team
–","Team
–","HALF
01:34:32","Finish Net
03:09:42","Finish Gun
03:09:53"
4580,511,4580,"Cusi, Eloisa","Team
–","Team
–","HALF
01:28:06","Finish Net
03:09:43","Finish Gun
03:14:51"
4583,512,4583,"Mitchell, Erica","Team
–","Team
–","HALF
01:33:32","Finish Net
03:09:44","Finish Gun
03:13:48"
4599,513,4599,"Barrett-Tzannes, Maya","Team
–","Team
–","HALF
01:29:25","Finish Net
03:09:48","Finish Gun
03:14:46"
4600,514,4600,"Merkel, Samantha","Team
–","Team
–","HALF
01:31:02","Finish Net
03:09:48","Finish Gun
03:10:23"
4603,515,4603,"Dao, Han","Team
–","Team
–","HALF
01:28:36","Finish Net
03:09:49","Finish Gun
03:10:30"
4609,516,4609,"Dong, Feifei","Team
–","Team
–","HALF
01:32:30","Finish Net
03:09:51","Finish Gun
03:11:04"
4611,517,4611,"Macdonald, Emma","Team
–","Team
–","HALF
01:28:30","Finish Net
03:09:52","Finish Gun
03:14:26"
4612,518,4612,"Wodarski, Miranda","Team
–","Team
–","HALF
01:31:35","Finish Net
03:09:52","Finish Gun
03:11:02"
4616,519,4616,"Bell, Rebecca","Team
–","Team
–","HALF
01:31:52","Finish Net
03:09:54","Finish Gun
03:10:01"
4619,520,4619,"Breedon, Tracey","Team
–","Team
–","HALF
01:32:03","Finish Net
03:09:55","Finish Gun
03:13:31"
4623,521,4623,"Boone, Whitney","Team
–","Team
–","HALF
01:33:57","Finish Net
03:09:56","Finish Gun
03:13:51"
4624,522,4624,"Rutherfoord, Paula","Team
–","Team
–","HALF
01:32:10","Finish Net
03:09:56","Finish Gun
03:14:13"
4625,523,4625,"Brinkruff, Claudia","Team
–","Team
–","HALF
01:28:44","Finish Net
03:09:57","Finish Gun
03:15:36"
4628,524,4628,"James, Sadie","Team
–","Team
–","HALF
01:24:21","Finish Net
03:09:57","Finish Gun
03:11:48"
4630,525,4630,"Larson, Christine","Team
–","Team
–","HALF
01:32:24","Finish Net
03:09:58","Finish Gun
03:12:16"
4632,526,4632,"Filler, Georgia","Team
–","Team
–","HALF
01:31:13","Finish Net
03:09:59","Finish Gun
03:15:05"
4649,527,4649,"Chan, Dominique","Team
–","Team
–","HALF
01:29:44","Finish Net
03:10:04","Finish Gun
03:14:07"
4661,528,4661,"Volkova, Ganna","Team
–","Team
–","HALF
01:33:53","Finish Net
03:10:10","Finish Gun
03:14:05"
4664,529,4664,"Lorkovic, Madeline","Team
–","Team
–","HALF
01:31:45","Finish Net
03:10:11","Finish Gun
03:18:19"
4667,530,4667,"Opalacz, Arissa","Team
–","Team
–","HALF
01:33:22","Finish Net
03:10:12","Finish Gun
03:11:57"
4675,531,4675,"O'Toole, Annalise","Team
–","Team
–","HALF
01:33:18","Finish Net
03:10:16","Finish Gun
03:10:28"
4677,532,4677,"O'brien, Catherine","Team
–","Team
–","HALF
01:35:12","Finish Net
03:10:16","Finish Gun
03:15:13"
4680,533,4680,"Guy, Kate","Team
–","Team
–","HALF
01:30:17","Finish Net
03:10:19","Finish Gun
03:18:44"
4681,534,4681,"Tremblay, Maureen","Team
–","Team
–","HALF
01:33:48","Finish Net
03:10:19","Finish Gun
03:16:50"
4684,535,4684,"De Arruda Falcao Vasconcellos, Maria Eduarda","Team
–","Team
–","HALF
01:30:51","Finish Net
03:10:20","Finish Gun
03:11:50"
4686,536,4686,"Zablan, Shea","Team
–","Team
–","HALF
01:24:56","Finish Net
03:10:20","Finish Gun
03:13:28"
4693,537,4693,"Lopez, Thais","Team
–","Team
–","HALF
01:31:34","Finish Net
03:10:22","Finish Gun
03:10:57"
4705,538,4705,"Shimansky, Stefanie","Team
–","Team
–","HALF
01:34:14","Finish Net
03:10:25","Finish Gun
03:12:08"
4706,539,4706,"Bialke, Caroline","Team
–","Team
–","HALF
01:28:25","Finish Net
03:10:25","Finish Gun
03:15:27"
4709,540,4709,"Crisafulli, Julianne","Team
–","Team
–","HALF
01:34:17","Finish Net
03:10:26","Finish Gun
03:12:38"
4710,541,4710,"Roberts, Véronique","Team
–","Team
–","HALF
01:34:08","Finish Net
03:10:26","Finish Gun
03:10:41"
4711,542,4711,"Beach, Kate","Team
–","Team
–","HALF
01:31:35","Finish Net
03:10:26","Finish Gun
03:11:13"
4722,543,4722,"Valerio, Tatiana","Team
–","Team
–","HALF
01:31:37","Finish Net
03:10:29","Finish Gun
03:10:34"
4725,544,4725,"Barana, Victoria","Team
–","Team
–","HALF
01:32:21","Finish Net
03:10:30","Finish Gun
03:14:07"
4726,545,4726,"Carbiener, Katie","Team
–","Team
–","HALF
01:31:29","Finish Net
03:10:30","Finish Gun
03:12:24"
4729,546,4729,"Seabright, Robyn","Team
–","Team
–","HALF
01:31:24","Finish Net
03:10:32","Finish Gun
03:13:16"
4733,547,4733,"Imperiale, Lydia","Team
–","Team
–","HALF
01:30:52","Finish Net
03:10:33","Finish Gun
03:11:02"
4734,548,4734,"Jamil, Amanda","Team
–","Team
–","HALF
01:32:15","Finish Net
03:10:33","Finish Gun
03:11:26"
4736,549,4736,"Fischer, Anna","Team
–","Team
–","HALF
01:28:17","Finish Net
03:10:33","Finish Gun
03:16:52"
4741,550,4741,"Campbell, Leigh","Team
–","Team
–","HALF
01:33:20","Finish Net
03:10:34","Finish Gun
03:18:14"
4742,551,4742,"Goin, Kim","Team
–","Team
–","HALF
01:30:16","Finish Net
03:10:35","Finish Gun
03:11:44"
4746,552,4746,"Valdivia Enríquez, Stephanie","Team
–","Team
–","HALF
01:30:00","Finish Net
03:10:36","Finish Gun
03:10:38"
4749,553,4749,"Sullivan, Kylie","Team
–","Team
–","HALF
01:33:23","Finish Net
03:10:38","Finish Gun
03:17:59"
4751,554,4751,"Goss, Parker","Team
–","Team
–","HALF
01:31:58","Finish Net
03:10:39","Finish Gun
03:17:46"
4752,555,4752,"Zvejnieks, Kristen","Team
–","Team
–","HALF
01:33:28","Finish Net
03:10:39","Finish Gun
03:10:45"
4763,556,4763,"Tantillo, Delaney","Team
–","Team
–","HALF
01:29:58","Finish Net
03:10:42","Finish Gun
03:13:27"
4765,557,4765,"Snyder, Jessica","Team
–","Team
–","HALF
01:33:29","Finish Net
03:10:43","Finish Gun
03:15:35"
4769,558,4769,"Gilbert, Ashley","Team
–","Team
–","HALF
01:35:36","Finish Net
03:10:44","Finish Gun
03:15:47"
4773,559,4773,"Matthews, Charlene","Team
–","Team
–","HALF
01:33:37","Finish Net
03:10:46","Finish Gun
03:15:15"
4774,560,4774,"Sansonetti, Danielle","Team
–","Team
–","HALF
01:30:33","Finish Net
03:10:46","Finish Gun
03:11:21"
4779,561,4779,"Truscott, Greta","Team
–","Team
–","HALF
01:29:13","Finish Net
03:10:47","Finish Gun
03:10:51"
4781,562,4781,"Oconnor, Catherine","Team
Cambridge Running Club","Team
Cambridge Running Club","HALF
01:31:07","Finish Net
03:10:48","Finish Gun
03:16:34"
4785,563,4785,"Moore, Nicole","Team
–","Team
–","HALF
01:33:07","Finish Net
03:10:50","Finish Gun
03:12:41"
4786,564,4786,"Heidenburg, Madison","Team
–","Team
–","HALF
01:34:25","Finish Net
03:10:50","Finish Gun
03:13:28"
4789,565,4789,"Tobon, Leidy","Team
–","Team
–","HALF
01:28:14","Finish Net
03:10:51","Finish Gun
03:16:54"
4796,566,4796,"Gellings, Katie","Team
–","Team
–","HALF
01:31:07","Finish Net
03:10:52","Finish Gun
03:10:58"
4798,567,4798,"Gray, Brenna","Team
–","Team
–","HALF
01:33:21","Finish Net
03:10:52","Finish Gun
03:12:52"
4806,568,4806,"Porter, Jamie","Team
–","Team
–","HALF
01:35:27","Finish Net
03:10:55","Finish Gun
03:16:49"
4808,569,4808,"Heginbotham, Katsue","Team
–","Team
–","HALF
01:32:40","Finish Net
03:10:56","Finish Gun
03:12:18"
4812,570,4812,"Johnson, Grace","Team
–","Team
–","HALF
01:37:00","Finish Net
03:10:58","Finish Gun
03:15:58"
4817,571,4817,"Cifuentes, Monica","Team
–","Team
–","HALF
01:33:14","Finish Net
03:11:00","Finish Gun
03:13:16"
4822,572,4822,"Simon, Andrea","Team
–","Team
–","HALF
01:31:52","Finish Net
03:11:02","Finish Gun
03:15:42"
4823,573,4823,"Bolos, Kaydi","Team
–","Team
–","HALF
01:31:43","Finish Net
03:11:02","Finish Gun
03:13:29"
4827,574,4827,"Tenberg, Amelia","Team
–","Team
–","HALF
01:34:57","Finish Net
03:11:03","Finish Gun
03:14:31"
4832,575,4832,"Fischer, Amanda","Team
–","Team
–","HALF
01:35:02","Finish Net
03:11:05","Finish Gun
03:14:31"
4837,576,4837,"Marquardt, Doris","Team
–","Team
–","HALF
01:30:08","Finish Net
03:11:06","Finish Gun
03:14:46"
4844,577,4844,"Valencia, Dolores","Team
–","Team
–","HALF
01:32:17","Finish Net
03:11:06","Finish Gun
03:12:21"
4845,578,4845,"Boerger, Emily","Team
–","Team
–","HALF
01:32:25","Finish Net
03:11:07","Finish Gun
03:14:32"
4846,579,4846,"Conlon, Carolyn","Team
–","Team
–","HALF
01:31:33","Finish Net
03:11:07","Finish Gun
03:12:49"
4847,580,4847,"Banks, Angie","Team
–","Team
–","HALF
01:33:19","Finish Net
03:11:08","Finish Gun
03:17:14"
4850,581,4850,"Somers, Katherine","Team
–","Team
–","HALF
01:33:18","Finish Net
03:11:08","Finish Gun
03:11:11"
4851,582,4851,"Pulido, Sandra","Team
–","Team
–","HALF
01:31:24","Finish Net
03:11:09","Finish Gun
03:14:59"
4853,583,4853,"Howley, Caroline","Team
–","Team
–","HALF
01:32:59","Finish Net
03:11:09","Finish Gun
03:11:16"
4860,584,4860,"Muñoz Santana, Sindy","Team
–","Team
–","HALF
01:31:38","Finish Net
03:11:11","Finish Gun
03:14:12"
4861,585,4861,"Eades, Erica","Team
–","Team
–","HALF
01:32:51","Finish Net
03:11:11","Finish Gun
03:11:55"
4865,586,4865,"Curran, Kelsey","Team
–","Team
–","HALF
01:28:36","Finish Net
03:11:12","Finish Gun
03:15:48"
4868,587,4868,"Johnson, Vivian","Team
–","Team
–","HALF
01:35:35","Finish Net
03:11:14","Finish Gun
03:15:00"
4869,588,4869,"Wölfl, Dorothea","Team
–","Team
–","HALF
01:34:56","Finish Net
03:11:14","Finish Gun
03:17:24"
4877,589,4877,"Weglarz, Jamie","Team
–","Team
–","HALF
01:30:52","Finish Net
03:11:15","Finish Gun
03:16:17"
4892,590,4892,"Bennett, Kimberly","Team
–","Team
–","HALF
01:34:57","Finish Net
03:11:21","Finish Gun
03:16:42"
4895,591,4895,"Naidu, Rebecca","Team
–","Team
–","HALF
01:34:57","Finish Net
03:11:22","Finish Gun
03:16:42"
4901,592,4901,"Warner, Chiara","Team
–","Team
–","HALF
01:34:59","Finish Net
03:11:23","Finish Gun
03:18:13"
4904,593,4904,"Ravaglia, Isabella","Team
–","Team
–","HALF
01:34:11","Finish Net
03:11:24","Finish Gun
03:18:39"
4910,594,4910,"Hodge, Danielle","Team
–","Team
–","HALF
01:32:03","Finish Net
03:11:25","Finish Gun
03:11:41"
4911,595,4911,"Stoll, Shelby","Team
–","Team
–","HALF
01:32:11","Finish Net
03:11:25","Finish Gun
03:17:47"
4912,596,4912,"Pepin, Marie-Eve","Team
–","Team
–","HALF
01:37:03","Finish Net
03:11:26","Finish Gun
03:13:07"
4916,597,4916,"Lucena, Mariana","Team
–","Team
–","HALF
–","Finish Net
03:11:26","Finish Gun
03:11:48"
4917,598,4917,"Canfield, Kristin","Team
–","Team
–","HALF
01:33:21","Finish Net
03:11:26","Finish Gun
03:12:10"
4918,599,4918,"Marroquin, Andrea","Team
–","Team
–","HALF
01:33:33","Finish Net
03:11:27","Finish Gun
03:12:47"
4920,600,4920,"Dear, Johanna","Team
–","Team
–","HALF
01:34:16","Finish Net
03:11:27","Finish Gun
03:17:16"
4927,601,4927,"Forman, Hope","Team
–","Team
–","HALF
01:30:21","Finish Net
03:11:29","Finish Gun
03:12:11"
4931,602,4931,"Stralen, Melanie","Team
–","Team
–","HALF
01:31:17","Finish Net
03:11:31","Finish Gun
03:11:44"
4933,603,4933,"Desjardin, Niki","Team
–","Team
–","HALF
01:35:01","Finish Net
03:11:31","Finish Gun
03:16:47"
4934,604,4934,"Shangraw, Erica","Team
–","Team
–","HALF
01:29:55","Finish Net
03:11:32","Finish Gun
03:13:15"
4936,605,4936,"Newton, Emma","Team
–","Team
–","HALF
01:28:37","Finish Net
03:11:32","Finish Gun
03:15:58"
4939,606,4939,"Utiger, Raili","Team
–","Team
–","HALF
01:32:31","Finish Net
03:11:33","Finish Gun
03:17:42"
4942,607,4942,"Oyola, Wilanie","Team
–","Team
–","HALF
01:31:54","Finish Net
03:11:34","Finish Gun
03:16:05"
4945,608,4945,"Umberger, Leah","Team
–","Team
–","HALF
01:31:46","Finish Net
03:11:35","Finish Gun
03:13:36"
4958,609,4958,"Brittany-Pollock, Shannon","Team
–","Team
–","HALF
01:36:04","Finish Net
03:11:41","Finish Gun
03:15:11"
4960,610,4960,"Moody, Caroline","Team
Impala Racing Team","Team
Impala Racing Team","HALF
01:31:08","Finish Net
03:11:41","Finish Gun
03:14:57"
4965,611,4965,"Schulz, Heather","Team
–","Team
–","HALF
01:31:42","Finish Net
03:11:43","Finish Gun
03:16:36"
4966,612,4966,"Ybarra, Bridget","Team
–","Team
–","HALF
01:33:25","Finish Net
03:11:43","Finish Gun
03:13:22"
4978,613,4978,"Tovar Olivo, Rosa","Team
–","Team
–","HALF
01:30:08","Finish Net
03:11:48","Finish Gun
03:13:38"
4983,614,4983,"Kirklewski, Sally","Team
–","Team
–","HALF
01:34:13","Finish Net
03:11:49","Finish Gun
03:15:52"
4984,615,4984,"Wolken, Brianna","Team
–","Team
–","HALF
01:28:37","Finish Net
03:11:49","Finish Gun
03:19:56"
4985,616,4985,"Curiel Cosio, Maria Fernanda","Team
–","Team
–","HALF
01:32:07","Finish Net
03:11:50","Finish Gun
03:12:05"
4987,617,4987,"Woyth, Marilee","Team
–","Team
–","HALF
01:34:49","Finish Net
03:11:50","Finish Gun
03:13:15"
4988,618,4988,"Schucht, Charlotte","Team
–","Team
–","HALF
01:33:10","Finish Net
03:11:50","Finish Gun
03:15:17"
4989,619,4989,"Essabhoy, Shaheen","Team
–","Team
–","HALF
01:30:16","Finish Net
03:11:50","Finish Gun
03:12:07"
4993,620,4993,"Tung, Joanna","Team
–","Team
–","HALF
01:31:15","Finish Net
03:11:52","Finish Gun
03:12:15"
4996,621,4996,"Ranger, Veronique","Team
–","Team
–","HALF
01:27:25","Finish Net
03:11:53","Finish Gun
03:16:41"
4998,622,4998,"Lynch, Mary","Team
–","Team
–","HALF
01:33:31","Finish Net
03:11:53","Finish Gun
03:17:36"
5002,623,5002,"Ferguson, Hazel","Team
–","Team
–","HALF
01:31:18","Finish Net
03:11:54","Finish Gun
03:13:34"
5005,624,5005,"Yee Valenzuela, Norma","Team
–","Team
–","HALF
01:30:56","Finish Net
03:11:55","Finish Gun
03:12:56"
5010,625,5010,"Abe, Kathryn","Team
–","Team
–","HALF
01:33:02","Finish Net
03:11:57","Finish Gun
03:14:41"
5012,626,5012,"Narayan, Anjali","Team
–","Team
–","HALF
01:32:06","Finish Net
03:11:57","Finish Gun
03:21:08"
5016,627,5016,"Mancuso, Abigail","Team
–","Team
–","HALF
01:33:56","Finish Net
03:11:59","Finish Gun
03:16:28"
5018,628,5018,"Vinstedt, Gloria","Team
–","Team
–","HALF
01:32:52","Finish Net
03:11:59","Finish Gun
03:13:29"
5020,629,5020,"Cousineau, Shayna","Team
–","Team
–","HALF
01:30:42","Finish Net
03:12:00","Finish Gun
03:19:23"
5022,630,5022,"Leblanc, Nicole","Team
Manchester Running Company","Team
Manchester Running Company","HALF
01:33:48","Finish Net
03:12:00","Finish Gun
03:16:34"
5028,631,5028,"Morozov, Stacy","Team
–","Team
–","HALF
01:27:46","Finish Net
03:12:02","Finish Gun
03:12:57"
5035,632,5035,"Rabin, Julia","Team
–","Team
–","HALF
01:33:46","Finish Net
03:12:02","Finish Gun
03:17:30"
5039,633,5039,"Avens, Isabel","Team
Notch Run Club","Team
Notch Run Club","HALF
01:32:33","Finish Net
03:12:04","Finish Gun
03:16:06"
5041,634,5041,"Nickel, Nora","Team
–","Team
–","HALF
01:34:04","Finish Net
03:12:04","Finish Gun
03:13:38"
5048,635,5048,"Sortisio, Nicolette","Team
–","Team
–","HALF
01:31:37","Finish Net
03:12:06","Finish Gun
03:14:04"
5049,636,5049,"Chao, Cai","Team
–","Team
–","HALF
01:35:30","Finish Net
03:12:07","Finish Gun
03:12:30"
5050,637,5050,"Mueller, Katelyn","Team
Somerville Road Runners","Team
Somerville Road Runners","HALF
01:32:05","Finish Net
03:12:07","Finish Gun
03:12:30"
5051,638,5051,"Restrepo, Adriana","Team
–","Team
–","HALF
01:30:14","Finish Net
03:12:07","Finish Gun
03:14:31"
5052,639,5052,"Mcnerney, Sedona","Team
–","Team
–","HALF
01:28:31","Finish Net
03:12:08","Finish Gun
03:15:54"
5053,640,5053,"Spencer, Michelle","Team
–","Team
–","HALF
01:32:39","Finish Net
03:12:08","Finish Gun
03:13:51"
5054,641,5054,"Mbida, April","Team
–","Team
–","HALF
01:34:34","Finish Net
03:12:08","Finish Gun
03:13:13"
5057,642,5057,"Davis, Carly","Team
–","Team
–","HALF
01:30:59","Finish Net
03:12:09","Finish Gun
03:12:41"
5058,643,5058,"Pfeifer, Maddy","Team
–","Team
–","HALF
01:28:55","Finish Net
03:12:09","Finish Gun
03:18:56"
5060,644,5060,"Trevino, Ariana","Team
–","Team
–","HALF
01:29:41","Finish Net
03:12:10","Finish Gun
03:16:13"
5063,645,5063,"Wise, Louiza","Team
–","Team
–","HALF
01:30:48","Finish Net
03:12:10","Finish Gun
03:19:08"
5069,646,5069,"Etienne, Sophia","Team
–","Team
–","HALF
01:32:39","Finish Net
03:12:11","Finish Gun
03:17:00"
5071,647,5071,"Levine, Sophie","Team
–","Team
–","HALF
01:40:37","Finish Net
03:12:12","Finish Gun
03:12:31"
5078,648,5078,"Trépanier, Gabrielle","Team
–","Team
–","HALF
01:35:52","Finish Net
03:12:14","Finish Gun
03:19:57"
5080,649,5080,"Allan, Kirsten","Team
–","Team
–","HALF
01:34:35","Finish Net
03:12:14","Finish Gun
03:14:38"
5081,650,5081,"Macrae, Rebecca","Team
–","Team
–","HALF
01:33:30","Finish Net
03:12:14","Finish Gun
03:12:32"
5085,651,5085,"Robertson, Sarah","Team
–","Team
–","HALF
01:33:35","Finish Net
03:12:15","Finish Gun
03:15:24"
5089,652,5089,"Rusk, Sarah","Team
–","Team
–","HALF
01:33:16","Finish Net
03:12:17","Finish Gun
03:12:19"
5090,653,5090,"Brandenburger, Jamie","Team
–","Team
–","HALF
01:32:03","Finish Net
03:12:17","Finish Gun
03:18:50"
5093,654,5093,"Drache, Susan","Team
–","Team
–","HALF
01:35:53","Finish Net
03:12:20","Finish Gun
03:15:05"
5095,655,5095,"Medic, Justine","Team
–","Team
–","HALF
01:33:52","Finish Net
03:12:20","Finish Gun
03:13:47"
5099,656,5099,"Depaul, Rosy","Team
–","Team
–","HALF
01:32:12","Finish Net
03:12:21","Finish Gun
03:14:11"
5100,657,5100,"Weston, Hayley","Team
–","Team
–","HALF
01:35:30","Finish Net
03:12:21","Finish Gun
03:17:16"
5108,658,5108,"Smith, Andrea","Team
–","Team
–","HALF
01:30:13","Finish Net
03:12:23","Finish Gun
03:12:46"
5110,659,5110,"Feingold, Jamie","Team
–","Team
–","HALF
01:29:03","Finish Net
03:12:23","Finish Gun
03:13:24"
5111,660,5111,"Armstrong, Alison","Team
–","Team
–","HALF
01:30:44","Finish Net
03:12:23","Finish Gun
03:18:26"
5120,661,5120,"Singh, Sunita","Team
–","Team
–","HALF
01:33:02","Finish Net
03:12:25","Finish Gun
03:13:43"
5121,662,5121,"Davis, Jennifer","Team
–","Team
–","HALF
01:34:18","Finish Net
03:12:25","Finish Gun
03:19:42"
5123,663,5123,"Hodges, Megan","Team
–","Team
–","HALF
01:31:03","Finish Net
03:12:26","Finish Gun
03:13:08"
5124,664,5124,"Blechman, Miranda","Team
Syracuse Track Club","Team
Syracuse Track Club","HALF
01:35:13","Finish Net
03:12:27","Finish Gun
03:14:07"
5126,665,5126,"Zhao, Zihan","Team
–","Team
–","HALF
01:31:42","Finish Net
03:12:27","Finish Gun
03:18:46"
5128,666,5128,"Erickson, Taylor","Team
–","Team
–","HALF
01:36:18","Finish Net
03:12:29","Finish Gun
03:19:01"
5130,667,5130,"Pathman, Mollie","Team
–","Team
–","HALF
01:30:30","Finish Net
03:12:29","Finish Gun
03:14:20"
5139,668,5139,"Mex Mex, Rosalba","Team
–","Team
–","HALF
01:31:26","Finish Net
03:12:32","Finish Gun
03:13:47"
5143,669,5143,"Burnham, Kelley","Team
–","Team
–","HALF
01:32:44","Finish Net
03:12:34","Finish Gun
03:16:14"
5144,670,5144,"Araujo, Nubia","Team
–","Team
–","HALF
01:31:44","Finish Net
03:12:35","Finish Gun
03:16:00"
5145,671,5145,"Via, Tiffany","Team
–","Team
–","HALF
01:33:34","Finish Net
03:12:35","Finish Gun
03:19:11"
5149,672,5149,"Schindele, Kristina","Team
Club Northwest","Team
Club Northwest","HALF
01:31:02","Finish Net
03:12:36","Finish Gun
03:12:48"
5151,673,5151,"Azim, Tasfia","Team
–","Team
–","HALF
01:29:18","Finish Net
03:12:36","Finish Gun
03:18:38"
5159,674,5159,"Sobering, Cheryl","Team
–","Team
–","HALF
01:37:22","Finish Net
03:12:39","Finish Gun
03:13:22"
5162,675,5162,"Jakub, Taryn","Team
–","Team
–","HALF
01:35:25","Finish Net
03:12:40","Finish Gun
03:15:24"
5171,676,5171,"Vergie, Amy","Team
–","Team
–","HALF
01:34:29","Finish Net
03:12:43","Finish Gun
03:18:46"
5172,677,5172,"Jung, Hyunyoung","Team
–","Team
–","HALF
01:30:43","Finish Net
03:12:43","Finish Gun
03:17:29"
5180,678,5180,"Hanley-Kimmerle, Michelle","Team
–","Team
–","HALF
01:35:09","Finish Net
03:12:45","Finish Gun
03:14:43"
5186,679,5186,"Rogut, Agnieszka","Team
–","Team
–","HALF
01:30:52","Finish Net
03:12:46","Finish Gun
03:13:05"
5188,680,5188,"Crone, Claire","Team
–","Team
–","HALF
01:34:17","Finish Net
03:12:47","Finish Gun
03:16:39"
5191,681,5191,"Wheeler, Rebecca","Team
West Valley Track Club","Team
West Valley Track Club","HALF
01:30:37","Finish Net
03:12:48","Finish Gun
03:20:23"
5196,682,5196,"Versey, Bernadette","Team
–","Team
–","HALF
01:31:07","Finish Net
03:12:49","Finish Gun
03:17:41"
5197,683,5197,"Hincaite, Kriste","Team
–","Team
–","HALF
01:34:53","Finish Net
03:12:49","Finish Gun
03:14:52"
5207,684,5207,"Mcdonald, Madeline","Team
–","Team
–","HALF
01:33:46","Finish Net
03:12:51","Finish Gun
03:16:53"
5209,685,5209,"Mascarenhas Assis, Amanda","Team
–","Team
–","HALF
01:35:09","Finish Net
03:12:51","Finish Gun
03:20:21"
5212,686,5212,"Groen, Maddi","Team
–","Team
–","HALF
01:36:14","Finish Net
03:12:52","Finish Gun
03:17:37"
